Blockchain and Distributed Ledger Technology	ブロックチェーンと分散台帳テクノロジー
Authorization is the process of determining access rights and privileges to a resource or permission to perform specific actions.	認可 (Authorization)は、リソースに対するアクセス権と特権、または特定のアクションを実行するための許可を決定するプロセスです。
Hyperledger Fabric uses the Role Based Authorization Control (RBAC) scheme, where each Identity is assigned a role.	Hyperledger Fabricは、各IDに役割が割り当てられているロールベース認可制御（RBAC）方式を使用します。
The authorization policies are defined per resource or action, and relate to roles rather than specific identities.	認可ポリシーはリソースまたはアクションごとに定義され、特定のIDではなくロールに紐付いています。
This provides better flexibility and agility, as roles can be reassigned if, for example, a specific employee leaves the enterprise or is on vacation.	これによって柔軟性と敏捷性が向上します。 たとえば、特定の従業員が退職したり、休暇を取っている場合にロールを再割り当てできたりするためです。
Fabric CA	Fabric CA
Hyperledger Fabric CA is an out-of-the-box implementation of a Certificate Authority (CA) for use with Hyperledger Fabric.	Hyperledger Fabric CAは、Hyperledger Fabricで使用するための認証局（CA）の標準実装です。
Fabric CA either registers Identities or connects to an existing LDAP to use as the user registry.	Fabric CAは、IDを登録するか、既存のLDAPに接続してユーザー レジストリとして使用します。
Fabric CA issues, renews and revokes Enrollment Certificates and Root Certificates to network member organizations, their system components and their users, including administrators.	Fabric CAは、ネットワーク メンバー組織、そのシステム コンポーネント、および管理者を含むそのユーザーに対して、登録証明書とルート証明書の発行、更新、および取り消しを行います。
All these certificates are in the X.509 format.	これらの証明書はすべてX.509形式です。
Also, support for PKI means that Fabric-CA supports Certificate Revocation Lists (CRL).	また、PKI対応なので、Fabric-CAが証明書失効リスト（CRL）に対応しています。
Fabric CA is using the client/server architecture; here, the server can be implemented as a cluster to support High Availability.	Fabric CAはクライアント/サーバー アーキテクチャを使用しています。 ここでは、サーバーを高可用性をサポートするクラスターとして実装できます。
As with any CA, the Fabric-CA can generate self-signed X.509 certificates.	他のCAと同様に、Fabric-CAは自己署名X.509証明書を生成できます。
Multiple Fabric CAs can be started.	複数のFabric CAが起動できます。
Normally, this would follow the PKI chain of trust philosophy, where one of them is a root CA, and the rest are intermediate CAs authenticated by the root CA.	通常、これはPKIの信頼チェーン哲学に従っており、そのうちの1つはルートCAで、残りはルートCAによって認証された中間CAです。
Fabric CA is only provided as a default reference implementation of a CA.	Fabric CAは、CAのデフォルトの参照実装としてのみ提供されています。
It can be replaced with another CA to generate appropriate certificates and support Revocation Lists.	別のCAと置き換えて、適切な証明書を生成して失効リストをサポートすることができます。
Membership Service Provider	メンバーシップ サービス プロバイダー (Membership Service Provider)
The Membership Service Provider (MSP) in Hyperledger Fabric is responsible for Identity Management functions in the context of the Fabric blockchain network.	Hyperledger Fabricのメンバーシップ サービス プロバイダー（MSP）は、FabricブロックチェーンネットワークのコンテキストでID管理機能を担当します。
An implementation of MSP identifies which root CAs and intermediate CAs are trusted to define the members of a trust domain (e.g. an organization), either by listing the identities of their members, or by identifying which CAs are authorized to issue valid identities for their members, or a combination of both.	MSPは信頼ドメインのメンバー(組織など)を定義するために、どのルートCAと中間CAが信頼されているかを識別します。 具体的には、メンバーのIDをリスト化する、どのCAが有効なIDをメンバーに発行する権限を付与されているかを識別する、あるいはその両方を組み合わせることによって行われています。
An MSP also enforces role-based authorization control within the scope of the organization which the MSP represents (e.g. administrators, or members of a sub-organization group), and sets the basis for controlling access privileges in the context of the network and a channel (e.g. channel admins, readers, writers).	MSP は MSP が表す組織 (管理者またはサブ組織グループのメンバーなど) の範囲内でロールベースの許可管理を実施し、ネットワークおよびチャネル（channel admins、readers、writersなど）のコンテキストでアクセス権限を管理するための基盤を設定します。
In this context, the organization is a managed group of members.	このコンテキストでは、組織はメンバーの管理されたグループです。
An organization is divided into multiple organizational units (OUs), each with a certain set of responsibilities.	組織は複数の組織単位（OU）に分割され、それぞれに一定の責任があります。
When a CA issues X.509 certificates, the OU field in the certificate specifies the line of business to which the identity belongs.	CAがX.509証明書を発行すると、証明書のOUフィールドには、IDが属する事業部門を指定します。
The configuration of an MSP is broadcasted to all the channels where members of the corresponding organization participate; this is called the channel MSP.	MSPの設定は、対応する組織のメンバーが参加するすべてのチャネルにブロードキャストされます。 これをチャネルMSPと呼びます。
In addition to the channel MSP, peers, orderers, and clients also maintain a local MSP instance to authenticate member messages outside the context of a channel, and to define the permissions over a particular component (who has the ability to install chaincode, for example).	チャネルMSPに加えて、peer、orderer、およびクライアントも、ローカルMSPインスタンスを維持し、チャネルのコンテキスト外のメンバーメッセージを認証し、特定のコンポーネント（チェーンコードをインストールする機能を持つユーザーなど）に対するアクセス許可を定義します。
The MSP also has to handle Certification Revocation Lists (CRLs), which we discussed in the PKI section.	MSPは、PKIセクションで説明した証明書失効リスト（CRL）も処理する必要があります。 すべてのノードとユーザーはローカルMSPを持つ必要があります。
Every node and user must have a local MSP which defines the permissions of that node and allows the user to authenticate its transactions or as an administrator.	ローカルMSPはノードのパーミッション権限を定義したり、ユーザーやadminのトランザクションを認証します。
Due to the hierarchical nature of the subgroups during channel setup, this configuration requirement can be fulfilled quite easily.	チャネルのコンフィギュレーションの記述はサブグループ単位で階層化されているため、この設定要件は非常に簡単に満たすことができます。
This results in local MSPs for every type of peer.	これにより、あらゆるタイプのpeerに対してローカルMSPが生成されます。
MSP Structure	​ MSPの構造
So far, we have learned about MSPs of different levels of the constitution of a business network.	これまで、さまざまなレベルのビジネス ネットワーク構成のMSPについて学んできました。
The scopes of these MSPs are different, but the most important function of an MSP at any level is the identification and interaction with root or intermediate CAs used to establish a chain of trust.	これらのMSPの範囲は異なりますが、どのレベルにおいてもMSPの最も重要な機能は、信頼チェーンを確立するために使用されるルートCAまたは中間CAとの識別とやりとりです。
Local MSP configuration is stored in a local folder with a specific structure.	ローカルMSP設定は、特定の構造を持つローカル フォルダに格納されています。
Usually, the structure is in the form of a file folder with subfolders for each type of element.	通常、構造は要素のタイプごとにサブフォルダを持つファイル フォルダの形式です。
It is helpful to think of a channel MSP configuration this way, as well.	チャネル MSP の設定もこのように考えると便利です。
Local MSPs are defined for every type of local node, like peer or orderer.	ローカルMSPは、peerやordererなど、あらゆるタイプのローカルノードに対して定義されます。
Their configurations only apply locally.	それらの設定はローカルにのみ適用されます。
In addition to the elements we just talked about, local MSPs have the following attributes:	先ほど説明した要素に加えて、ローカルMSPには以下の属性があります。 • ノードID
● Node Identity	ノードのID。
The identity of the node; i.e. cryptographic material that, in combination with the private key (held separately), would allow the node to authenticate itself in the messages that it sends to other participants of its channels and network.	すなわち、（別々に保持されている）秘密鍵と組み合わせ、ノードが自身のチャネルおよびネットワークの他の参加者に送信するメッセージ内で、自分自身を認証することを可能にする暗号材料のこと。
This is mandatory for a local MSP.	これはローカルMSPには必須です。
● KeyStore for Private Key	• 秘密鍵のキーストア
This contains the node’s private key.	これにはノードの秘密鍵が含まれています。
This key cryptographically matches the node’s public key present in the Node Identity X.509 certificate.	この鍵は、ノードID X.509証明書に存在するノードの公開鍵と暗号的に一致します。
This is used, for example, to sign a transaction proposal response, as part of the endorsement phase.	たとえば、これは、endorsementフェーズの一環として、トランザクションproposalのレスポンスに署名するために使用されます。
The access to this key is restricted to identities of users who have administrative access.	このキーへのアクセスは、管理者権限を持つユーザーのIDに制限されています。
This item is mandatory for local MSPs, and must contain exactly one private key.	この項目はローカルMSPには必須であり、秘密鍵を1つだけ必要とします。
Channel MSPs do not include this element, as they aim to offer identity validation functionality, and not signing ability.	チャネルMSPは、署名機能ではなく、ID検証機能の提供を目的としているため、この要素は含まれていません。
Channels	チャネル
A Hyperledger Fabric channel is a segregated way of communication between two or more specific network members, for the purpose of conducting transactions.	Hyperledger Fabricのチャネルは、2つ以上の特定の組織だけが関わるスマートコントラクトやトランザクションを他の組織から分離する機能です。
The channel structure is the only way in which Hyperledger Fabric business networks can be set up.	Hyperledger Fabricのネットワークを構築する時、必ずチャネルが必要になります。
A channel is defined by the following components:	チャネルは次のコンポーネントによって定義されます。
● Members (organization units)	• メンバー（組織単位）
● The shared ledger	• 共有台帳
● Chaincode	• チェーンコード
● The ordering service.	• ordering service
Each transaction on the network is executed on a channel, where each party must be authenticated and authorized to transact on that channel.	ネットワーク上の各トランザクションはチャネル上で実行されます。 そのチャネルでトランザクションを実行するには、各組織は認証・認可される必要があります。
Each peer that joins a channel has its own identity given by a Membership Services Provider (MSP), which authenticates each peer to its channel peers and services.	チャネルに参加する各peerは、メンバーシップ サービス プロバイダー（MSP）によって付与された自身のIDのあるチャネルに参加します。 MSPは各peerをそのチャネルのpeerおよびサービスに対して認証します。
Channels have the advantage of providing confidentially.	チャネルには、プライバシーを保てるという利点があります。
Each and every concept described in all the preceding sections and chapters is valid only in the context of a Fabric channel.	前述のすべてのセクションおよび章で説明されているありとあらゆる概念は、Fabricチャネルのコンテキストでのみ有効です。
By default, a channel can include all participants in a network.	デフォルトでは、チャネルにはネットワーク内のすべての参加者を含めることができます。
If private communications are needed, just the organizational units that need to participate in such private communication can create a separate channel where they are the only authorized members.	プライベート コミュニケーションが必要な場合は、そのプライベート コミュニケーションに参加する必要がある組織だけで新たなチャネルを作成することができます。
No ledger data can pass from one channel to another.	台帳データは、あるチャネルから別のチャネルに渡すことはできません。
This separation of ledgers, by channel, is defined and implemented by configuration chaincode, the identity membership service and the gossip protocol.	この台帳の分離は、チャネルごとに定義され、システム チェーンコード、IDメンバーシップ サービス、およびゴシップ プロトコルによって実装されます。
The dissemination of data, which includes information on transactions, ledger state and channel membership, is restricted to peers with verifiable membership on the channel.	トランザクション、台帳の状態、およびチャネルのメンバーシップに関する情報を含むデータの配布は、チャネル上で検証可能なメンバーシップを持つpeerに制限されています。
This isolation of peers and ledger data by channel, allows network members that require private and confidential transactions to coexist with business competitors on the same blockchain network.	このようにpeerと台帳データをチャネルごとに分離することで、プライベートで機密のトランザクションを必要とするネットワーク メンバーが、同じブロックチェーン ネットワーク上でビジネスの競合相手と共存できます。
Channel Setup	チャネル設定
To create a new channel, the client SDK calls the configuration system chaincode with parameters like policies, the MSP IDs and members (organizations).	新しいチャネルを作成するために、クライアントSDKは、ポリシー、MSP ID、およびメンバー（組織）などのパラメーターを使用してコンフィギュレーション システム チェーンコードを呼び出します。
This creates a genesis block for the channel ledger, which stores configuration information about the channel policies and members.	これにより、チャネル台帳用のgenesis blockが作成され、チャネル台帳にはチャネルポリシーおよびメンバーに関する設定情報が格納されます。
The genesis block is the first block in the channel's ledger. It contains only configuration information.	genesis blockは、チャネルの台帳の最初のブロックで、コンフィギュレーション情報のみが含まれています。
When a new member is added to an existing channel, the member gets access to the appropriate information in the genesis block.	新しいメンバーが既存のチャネルに追加されると、そのメンバーはgenesis block内の適切な情報にアクセスできます。
The MSP ID has to be unique within channels.	MSP IDはチャネル内でユニークである必要があります。
The channel configuration is done using a collection of configuration transactions.	チャネル設定はコンフィギュレーション トランザクションの集まりを使用して行われます。
Each collection consists of one or more versioned configuration transactions (configtx) in a grouped hierarchy.	チャネルの設定情報は階層構造になっていて、設定項目はグループ化され、また、バージョン管理されています。
Configuration modification policies control the permissioning of changes to that configuration.	コンフィギュレーション変更ポリシーは、その構成に対する変更の許可を制御します。
The hierarchical structure permits the inheritance of policies for configurations deeper in the hierarchy from higher levels.	階層構造により、上位レベルから階層内のより深い構成へのポリシーの継承が可能になります。
As we mentioned above, the configuration contains information about the Membership Services Provider attached to the channel.	前述したように、この設定には、チャネルに接続されているメンバーシップ サービス プロバイダーに関する情報が含まれています。
Operating a Channel	チャネルを操作する
Once a channel is set up, participants in the channel can deploy and invoke chaincode, engaging in all activities that we have seen before - to propose, endorse, order and validate transactions, of course limited by the rights granted them by their MSPs inherited from the channel configuration and interaction with the CA.	チャネルが作成されると、チャネルの参加者はチェーンコードをデプロイして呼び出すことができ、これまで見てきたすべてのアクティビティ~トランザクションのproposal, endorsement、ordering、validationに関与します（もちろん、チャネル コンフィギュレーションとCAとのやりとりから継承されるMSPによって付与される権利に制限されます）。
Channel configuration can also be modified dynamically to add more participants and their own MSPs.	チャネル構成を動的に変更して、参加者と自分自身のMSPを追加することもできます。
This can only be done if one has the proper administration rights by being in a role that is permitted to make these changes.	これは、これらの変更を行うことが許可されているロールになる適切な管理権限が持っている場合にのみ実行できます。
A very important result of the channel setup is increased privacy.	チャネル設定の非常に重要な結果はプライバシーが向上することです。
Unlike public-permissionless blockchains (as well as some of the other permissioned chains), Hyperledger Fabric segregates the activity of a channel from participants who are not members of the channel; these outsiders cannot even see the frequency, nor the size of the messages that pass between the participants of the channel.	パブリックなパーミッションレス ブロックチェーン（および他のパーミッションド チェーンの一部）とは異なり、Hyperledger Fabricはチャネルのアクティビティをそのチャネルのメンバーではない参加者から分離します。 これらの部外者は、チャネルの参加者間を通過するメッセージの頻度もサイズも見ることができません。
This increases the privacy of the business transactions, also by shielding the chaincode from prying eyes.	これにより、チェーンコードを覗き見から守ることによって、ビジネス取引のプライバシーを高めます。
Hyperledger Composer	Hyperledger Composer
Hyperledger Composer is an open development tool set and framework to make developing blockchain applications easier.	Hyperledger Composerは、ブロックチェーン アプリケーションの開発を容易にするためのオープン開発ツールセットおよびフレームワークです。
The goal is to accelerate time to value, and make it easier to integrate blockchain applications with the existing business systems.	目標は、価値実現までの時間を短縮し、ブロックチェーン アプリケーションを既存のビジネス システムと簡単に統合できるようにすることです。
You can use Composer to rapidly develop use cases and deploy a blockchain solution in a short period.	Composerを使用すると、短期間でユースケースを迅速に開発し、ブロックチェーン ソリューションをデプロイできます。
Composer allows you to model your business network and integrate existing systems and data with your blockchain applications.	Composerを使用すると、ビジネス ネットワークをモデル化し、既存のシステムとデータをブロックチェーン アプリケーションと統合できます。
Hyperledger Composer supports the current version of the Hyperledger Fabric Framework.	Hyperledger Composerは現在のバージョンのHyperledger Fabric Frameworkをサポートしています（注：Composerは新機能開発がなくなり、最小限の保守だけがされています。Fabricのサポートは v1.2までです）。
You can use Hyperledger Composer to quickly model your current business network, containing your existing assets and the transactions related to them.	Hyperledger Composerを使用して、既存の資産とそれに関連するトランザクションを含む現在のビジネス ネットワークをすばやくモデル化できます。
As part of your business network model, you define the transactions which can interact with assets.	ビジネス ネットワーク モデルの一部として、アセットとやりとりできるトランザクションを定義します。
Business networks also include the participants who interact with them, each of which can be associated with a unique identity, across multiple business networks.	ビジネス ネットワークには、ネットワークとやりとりする参加者も含まれます。
Creating Applications Using Hyperledger Composer	Hyperledger Composerを使用したアプリケーションの作成
Steps to creating an application using Hyperledger Composer include:	Hyperledger Composerを使用してアプリケーションを作成する手順は次のとおりです。
● Modeling assets, participants and transactions to create a .cto file.	• .ctoファイルを作成するためのアセット、参加者、およびトランザクションのモデル化
● Writing transaction functions in Javascript as a .js file.	• Javascriptでトランザクション関数を.jsファイルとして記述
● Creating access control rules as an .acl file.	• アクセス制御規則を.aclファイルとして作成
● Creating a query definition as a .qry file.	• クエリ定義を.qryファイルとして作成
Together, these four types of files make up a Business Definition Network (BDN).	これら4種類のファイルを組み合わせて、ビジネス定義ネットワーク（BDN）を構成します。
With tools provided by Hyperledger Composer, you can then package up the BDN to create a Business Network Archive (BNA), which afterwards can be deployed, for example, by using the command line with business network cards with admin privileges.	Hyperledger Composerが提供するツールを使用すると、BDNをパッケージ化してビジネス ネットワーク アーカイブ（BNA）を作成することができます。 これは、後で管理者権限を持つビジネス ネットワーク カードでコマンドラインを使用することによってデプロイできます。
Business network cards are a combination of an identity, a connection profile, and metadata, the metadata optionally containing the name of the business network to connect to.	ビジネス ネットワーク カードは、ID、connection profile、およびメタデータの組み合わせで、メタデータにはオプションで接続先のビジネス ネットワークの名前が含まれています。
Business network cards simplify the process of connecting to a business network, and extend the concept of an identity outside the business network to a 'wallet' of identities, each associated with a specific business network and connection profile.	ビジネス ネットワーク カードは、ビジネス ネットワークへの接続プロセスをシンプルにし、ビジネス ネットワークの外のIDの概念を、それぞれが特定のビジネス ネットワークと接続プロファイルに関連付けられたIDの「ウォレット」に拡張します。
Connection profiles are used across Hyperledger Composer to specify how to connect to an execution runtime.	connection profileは、Hyperledger Composer全体で実行ランタイムへの接続方法を指定するために使用されます。
There are different configuration options for each type of execution runtime.	実行ランタイムの種類ごとに異なる構成オプションがあります。
For example, the connection profile for a Hyperledger Fabric v1.1 runtime will contain the TCP/IP addresses and ports for the Fabric peers, as well as cryptographic certificates, etc.	たとえば、Hyperledger Fabric v1.1ランタイムのconnection profileには、Fabric peerのTCP / IPアドレスとポート、および暗号証明書などが含まれます。
Hyperledger Composer Components	Hyperledger Composerのコンポーネント
Hyperledger Composer is comprised of the following high-level components:	Hyperledger Composerは、次の上位レベルのコンポーネントで構成されています。
● Execution Runtimes	• 実行ランタイム
Hyperledger Composer has been designed to support different pluggable runtimes, and currently has three runtime implementations.	Hyperledger Composerは、さまざまなプラガブル ランタイムをサポートするようにデザインされており、現在3つのランタイム実装があります。
With Hyperledger Fabric v1.1, state is stored on the distributed ledger.	Hyperledger Fabric v1.1では、ステートは分散台帳に保存されます。
The other two implementations are testing and web-based playgrounds for getting familiar with Composer, and don't actually use blockchain.	他の2つの実装はComposerに慣れるためのテストとWebベースのプレイグラウンドで、実際にはブロックチェーンを使用しません。
● JavaScript SDK	• JavaScript SDK
The Hyperledger Composer JavaScript SDK is a set of Node.js APIs that enables developers to create applications to manage and interact with deployed business networks.	Hyperledger Composer JavaScript SDKは、開発者がデプロイされたビジネス ネットワークを管理しやりとりするためのアプリケーションを作成できるようにするNode.js APIのセットです。
● Command Line Interface	• コマンドライン インターフェイス
The composer command line tool enables developers and administrators to deploy and manage business network definitions.	comoserコマンドライン ツールを使用することで、開発者および管理者はビジネス ネットワーク定義をデプロイおよび管理できます。
● REST Server	• RESTサーバー
The Hyperledger Composer REST Server automatically generates an Open API (Swagger) REST API for a business network.	Hyperledger Composer RESTサーバーは、ビジネス ネットワーク用のOpen API（Swagger）REST APIを自動的に生成します。
The REST Server converts the Composer model for a business network into an Open API definition, and at runtime implements create, read, update and delete support for assets and participants and allows transactions to be submitted or queried.	RESTサーバーは、ビジネス ネットワーク用のComposerモデルをOpen API定義に変換し、実行時に資産および参加者の作成、読み取り、更新、削除のサポートを実装し、トランザクションの送信または照会を可能にします。
● LoopBack Connector	• ループバック コネクター
It is mostly used in the component above.	おもに上記のコンポーネントで使用されています。
● Playground Web User Interface	• プレイグラウンド ウェブ ユーザー インターフェイス
Web user interface to define and test business networks.	ビジネス ネットワークを定義およびテストするためのWebユーザー インターフェイス
● Yeoman Code Generator	• Yeomanコード ジェネレーター
It is used to generate skeleton projects.	スケルトン プロジェクトを生成するために使用されます。
● VSCode Editor Plugin	• VSCodeエディター プラグイン
The VSCode plugin highlights syntax, validates model and acl files and provides snippet support, making it easy to develop the basic files that make up a business definition network.	VSCodeプラグインは構文を強調表示し、モデル ファイルとaclファイルを検証し、スニペット サポートを提供するので、ビジネス定義ネットワークを構成する基本ファイルを簡単に開発できます。
