Glossary	Glossary (用語集)
Each transaction subsequently refers to this list; the issue transaction adds new papers to it, the buy transaction changes its owner, and the redeem transaction marks it as complete.	以降の各トランザクションはこのリストを参照し、発行トランザクションは新しいコマーシャルペーパーをそれに追加し、購入トランザクションは所有者を変更し、現金化トランザクションは完了したとマークします。
This is a common pattern; when writing a smart contract it's often helpful to initialize and recall particular variables in sequential transactions.	これは共通で使えるパターンで、スマートコントラクトを書く際には、ある変数を初期化し、続くトランザクションでそれを呼び出すことが有用なことが多いです。
A smart contract transaction context allows smart contracts to define and maintain user variables across transaction invocations.	スマートコントラクトのトランザクションコンテキストによって、スマートコントラクトはトランザクション実行で使われるユーザー変数を定義し管理することができます。
Refer to the text for a detailed explanation.	詳細な説明は本文を参照してください。
When a smart contract is constructed, a developer can optionally override the built-in `Context` class `createContext` method to create a custom context:	開発者は、スマートコントラクトが作成される際、カスタムコンテキストを作成するために、組み込みの`Context`クラスと`createContext`メソッドを下記のようにオーバーライドすることができます。
In our example, the `CommercialPaperContext` is specialized for `CommercialPaperContract`.	ここでの例では、`CommercialPaperContext`は、`CommercialPaperContract`のために特化したものです。
See how the custom context, addressed through `this`, adds the specific variable `PaperList` to itself:	下記のように、`this`で参照されているカスタムコンテキストに、特有の変数である`PaperList`を追加しています。
When the createContext() method returns at point (1) in the diagram [above](#scenario), a custom context `ctx` has been created which contains `paperList` as one of its variables.	[上の](#scenario)図の(1)で、createContext()メソッドから返ったときには、カスタムコンテキスト`ctx`は作られており、その変数の一つとして`paperList`を含んでいます。
Subsequently, whenever a smart contract transaction such as issue, buy or redeem is called, this context will be passed to it.	その後、発行、購入、現金化のようなスマートトランザクションが呼ばれるときには常に、このコンテキストが渡されます。
See how at points (2), (3) and (4) the same commercial paper context is passed into the transaction method using the `ctx` variable.	(2)、(3)、(4)で、同じコマーシャルペーパーのコンテキストが`ctx`変数によって、トランザクションメソッドに渡されているのがわかります。
See how the context is then used at point (5):	そして、次のように(5)でコンテキストが使われていることがわかります。
Notice how `paperList` created in `CommercialPaperContext` is available to the issue transaction.	`CommercialPaperContext`に作られた`paperList`が、発行トランザクションで利用可能なことに注目してください。
See how `paperList` is similarly used by the redeem and buy transactions;	現金化や購入トランザクションでも同じように`paperList`が使われているのがわかります。
`ctx` makes the smart contracts efficient and easy to reason about.	`ctx`によって、スマートコントラクトが効率的で処理がわかりやすくなっています。
You can also see that there's another element in the context -- `ctx.stub` -- which was not explicitly added by `CommercialPaperContext`.	また、`CommercialPaperContext`で明示的に追加されていない、コンテキストの別の要素である`ctx.stub`があることもわかります。
That's because `stub` and other variables are part of the built-in context.	これは、`stub`やその他の変数は、組み込みのコンテキストの一部であるからです。
Let's now examine the structure of this built-in context, these implicit variables and how to use them.	それでは、この組み込みのコンテキストの構造と、これらの暗黙的な変数、そしてその使い方を見ていきましょう。
As we've seen from the [example](#programming), a transaction context can contain any number of user variables such as `paperList`.	[この例](#programming)で見たように、トランザクションコンテキストは、`paperList`のような任意の数のユーザー変数をもつことができます。
The transaction context also contains two built-in elements that provide access to a wide range of Fabric functionality ranging from the client application that submitted the transaction to ledger access.	トランザクションコンテキストは、二つの組み込みの要素を持っており、これらはトランザクションを送信したアプリケーションから台帳へのアクセスに至るまで幅広いFabricの機能へのアクセスを提供します。
`ctx.stub` is used to access APIs that provide a broad range of transaction processing operations from `putState()` and `getState()` to access the ledger, to `getTxID()` to retrieve the current transaction ID.	`ctx.stub`は、台帳に対するアクセスを行う`putState()`と`getState()`から、現在のトランザクションのIDを取得する`getTxID()`に至るまで、幅広いトランザクションの処理操作を提供するAPIへのアクセスに使われます。
`ctx.clientIdentity` is used to get information about the identity of the user who submitted the transaction.	`ctx.clientIdentity`は、トランザクションを送信したユーザーのアイデンティティに関する情報を取得するのに使われます。
We'll use the following diagram to show you what a smart contract can do using the `stub` and `clientIdentity` using the APIs available to it:	以降では、スマートコントラクトが`stub`と`clientIdentity`を使って、そのAPIによってなにができるかを下記の図を使って示します。
A smart contract can access a range of functionality in a smart contract via the transaction context `stub` and `clientIdentity`.	スマートコントラクトは、トランザクションコンテキストの`stub`と`clientIdentity`を用いて様々なスマートコントラクトの機能にアクセスすることができます。
Refer to the text for a detailed explanation.	詳細は本文を参照してください。
The APIs in the stub fall into the following categories:	stubのAPIは、次のように分類されます。
World state data APIs.	ワールドステートデータAPI
See interaction point (1).	(1)を参照してください。
These APIs enable smart contracts to get, put and delete state corresponding to individual objects from the world state, using their key:	スマートコントラクトは、次のAPIによって、キーを用いてワールドステートから個々のオブジェクトに対応するステートを取得、書き込み、削除することができます。
These basic APIs are complemented by query APIs which enable contracts to retrieve a set of states, rather than an individual state.	これらの基本的なAPIに加えて、一つのステートでなく、ステートの集合をコントラクトが取得することができるクエリAPIがあります。
See interaction point (2).	(2)を参照してください。
The set is either defined by a range of key values, using full or partial keys, or a query according to values in the underlying world state [database](../ledger/ledger.html#world-state-database-options).	集合は、キーの全体あるいは一部によるキーバリューの範囲として、あるいは、ワールドステート[データベース](../ledger/ledger.html#world-state-database-options)の値に応じたクエリとして定義されます。
For large queries, the result sets can be paginated to reduce storage requirements:	クエリ結果が大きい場合、必要なストレージを削減するためにページネーションすることができます。
Private data APIs.	プライベートデータAPI.
See interaction point (3).	(3)を参照してください。
These APIs enable smart contracts to interact with a private data collection.	スマートコントラクトは、これらのAPIによってプライベートデータコレクションとやりとりすることができます。
They are analogous to the APIs for world state interactions, but for private data.	ワールドステートとやりとりするAPIと類似していて、これらはプライベートデータに対するAPIです。
There are APIs to get, put and delete a private data state by its key:	以下のAPIで、キーによってプライベートデータを取得、書き込み、削除することができます。
This set is complemented by set of APIs to query private data (4).	このAPIに加えて、プライベートデータをクエリするAPI((4))があります。
These APIs allow smart contracts to retrieve a set of states from a private data collection, according to a range of key values, either full or partial keys, or a query according to values in the underlying world state [database](../ledger/ledger.html#world-state-database-options).	これらのAPIによって、スマートコントラクトは、キーの全部または一部によるキーバリューの範囲、あるいは、ワールドステート[データベース](../ledger/ledger.html#world-state-database-options)の値に対するクエリに従って、プライベートデータコレクションからからステートの集合をクエリすることができます。
There are currently no pagination APIs for private data collections.	現在のところ、プライベートデータコレクションに対するページネーションに対応したAPIはありません。
Transaction APIs.	トランザクションAPI.
See interaction point (5).	(5)を参照してください。
These APIs are used by a smart contract to retrieve details about the current transaction proposal being processed by the smart contract.	これらのAPIは、スマートコントラクトが、現在処理しているトランザクション提案に関する詳細を取得するのに使われます。
This includes the transaction identifier and the time when the transaction proposal was created.	これには、トランザクションの識別子及びトランザクション提案が作られたときの時刻を含みます。
[getTxID()](https://hyperledger.github.io/fabric-chaincode-node/{BRANCH}/api/fabric-shim.ChaincodeStub.html#getTxID__anchor) returns the identifier of the current transaction proposal (5).	[getTxID()](https://hyperledger.github.io/fabric-chaincode-node/{BRANCH}/api/fabric-shim.ChaincodeStub.html#getTxID__anchor)は、現在のトランザクション提案の識別子(5)を返します。
[getTxTimestamp()](https://hyperledger.github.io/fabric-chaincode-node/{BRANCH}/api/fabric-shim.ChaincodeStub.html#getTxTimestamp__anchor) returns the timestamp when the current transaction proposal was created by the application (5).	[getTxTimestamp()](https://hyperledger.github.io/fabric-chaincode-node/{BRANCH}/api/fabric-shim.ChaincodeStub.html#getTxTimestamp__anchor)は、現在のトランザクション提案がアプリケーションで作らされた際のタイムスタンプ(5)を返します。
[getCreator()](https://hyperledger.github.io/fabric-chaincode-node/{BRANCH}/api/fabric-shim.ChaincodeStub.html#getCreator__anchor) returns the raw identity (X.509 or otherwise) of the creator of transaction proposal.	[getCreator()](https://hyperledger.github.io/fabric-chaincode-node/{BRANCH}/api/fabric-shim.ChaincodeStub.html#getCreator__anchor)は、トランザクション提案の作成者の生のアイデンティティ(X.509あるいはその他)を返します。
If this is an X.509 certificate then it is often more appropriate to use [`ctx.ClientIdentity`](#clientidentity).	X.509証明書の場合は、[`ctx.clientIdentity`](#clientidentity)を使うほうが多くの場合適切です。
[getSignedProposal()](https://hyperledger.github.io/fabric-chaincode-node/{BRANCH}/api/fabric-shim.ChaincodeStub.html#getSignedProposal__anchor) returns a signed copy of the current transaction proposal being processed by the smart contract.	[getSignedProposal()](https://hyperledger.github.io/fabric-chaincode-node/{BRANCH}/api/fabric-shim.ChaincodeStub.html#getSignedProposal__anchor)は、スマートコントラクトによって現在処理されているトランザクション提案の署名付きコピーを返します。
[getBinding()](https://hyperledger.github.io/fabric-chaincode-node/{BRANCH}/api/fabric-shim.ChaincodeStub.html#getBinding__anchor) is used to prevent transactions being maliciously or accidentally replayed using a nonce.	[getBinding()](https://hyperledger.github.io/fabric-chaincode-node/{BRANCH}/api/fabric-shim.ChaincodeStub.html#getBinding__anchor)は、ノンスを用いて、故意あるいは間違いによってトランザクションがリプレイされるのを防ぐのに使われます。
For practical purposes, a nonce is a random number generated by the client application and incorporated in a cryptographic hash.	実用的には、ノンスはクライアントアプリケーションによって生成された乱数で、暗号的ハッシュに含まれます
For example, this API could be used by a smart contract at (1) to detect a replay of the transaction (5).	例えば、このAPIはスマートコントラクト(1)が、トランザクション(5)のリプレイを検出するために使うことができるでしょう。
[getTransient()](https://hyperledger.github.io/fabric-chaincode-node/{BRANCH}/api/fabric-shim.ChaincodeStub.html#getTransient__anchor) allows a smart contract to access the transient data an application passes to a smart contract.	[getTransient()](https://hyperledger.github.io/fabric-chaincode-node/{BRANCH}/api/fabric-shim.ChaincodeStub.html#getTransient__anchor)によって、スマートコントラクトは、アプリケーションが渡す一時的データにアクセスすることができます。
See interaction points (9) and (10).	(9)と(10)を参照してください。
Transient data is private to the application-smart contract interaction.	一時的データは、アプリケーションとスマートコントラクトのやりとりでのみアクセスできます。
It is not recorded on the ledger and is often used in conjunction with private data collections (3).	台帳には記録されず、プライベートデータコレクション(3)とともによく使われます。
Key APIs are used by smart contracts to manipulate state key in the world state or a private data collection.	キーAPIは、スマートコントラクトがワールドステートもしくはプライベートデータコレクションのステートのキーを操作するのに使われます。
See interaction points 2 and 4.	図中の(2)と(4)を参照してください。
The simplest of these APIs allows smart contracts to form and split composite keys from their individual components.	これらのAPIのうち、もっとも単純なものは、スマートコントラクトがコンポジットキーを作成あるいは分解するのに使われます。
Slightly more advanced are the `ValidationParameter()` APIs which get and set the state based endorsement policies for world state (2) and private data (4).	もう少し高度なものとして、`ValidationParameter()`API群があり、これは、ワールドステート(2)およびプライベートデータ(4)に関するステートベースのエンドースメントポリシーを取得および設定するものです。
Finally, `getHistoryForKey()` retrieves the history for a state by returning the set of stored values, including the transaction identifiers that performed the state update, allowing the transactions to be read from the blockchain (10).	最後に、`getHistoryForKey()`は、ステートの履歴を取得するもので、格納された値を返します。これには、そのステート更新を行ったトランザクションの識別子を含んでおり、これによってブロックチェーン(10)からそのトランザクションを取得することができます。
Event APIs are used to manage event processing in a smart contract.	イベントAPIは、スマートコントラクトでイベント処理を管理するのに使用されます。
Smart contracts use this API to add user events to a transaction response.	スマートコントラクトは、トランザクション応答にユーザーイベントを加えるのに、このAPIを使います。
See interaction point (5).	図の(5)を参照してください。
These events are ultimately recorded on the blockchain and sent to listening applications at interaction point (11).	イベントは、最終的にはブロックチェーンに記録され、listenしているアプリケーションに送信されます (11)。
Utility APIs are a collection of useful APIs that don't easily fit in a pre-defined category, so we've grouped them together!	ユーティリティAPIは、便利なAPIを集めたもので、上記には分類しにくいのでここに集めています。
They include retrieving the current channel name and passing control to a different chaincode on the same peer.	これには、現在のチャネル名を取得したり、同じピアの別のチェーンコードに処理を渡すものが含まれます。
See interaction point (13).	図の(13)を参照してください。
A smart contract running on any peer can use this API to determined on which channel the application invoked the smart contract.	どのピアでも、スマートコントラクトはこのAPIを用いて、アプリケーションがどのチャネルでスマートコントラクトを実行したかを判断することができます。
See interaction point (14).	図の(14)を参照してください。
Peer3 owned by MagnetoCorp has multiple smart contracts installed on it.	MagnetoCorpが所有するPeer3には、複数のスマートコントラクトがインストールされています。
These smart contracts are able to call each other using this API.	これらのスマートコントラクトは、このAPIを使って互いを呼び出すことができます。
The smart contracts must be collocated; it is not possible to call a smart contract on a different peer.	スマートコントラクトは同じ場所になくてはならず、異なるピア上のスマートコントラクトを呼び出すことはできません。
Some of these utility APIs are only used if you're using low-level chaincode, rather than smart contracts.	ユーティリティAPIのいくつかは、スマートコントラクトでなく、低レベルなチェーンコードを用いている場合にのみ使われます。
These APIs are primarily for the detailed manipulation of chaincode input; the smart contract `Contract` class does all of this parameter marshalling automatically for developers.	これらのAPIは、主にチェーンコードの入力値の詳細な操作のためのもので、スマートコントラクトの`Contract`クラスは、パラメータの変換を開発者のために自動的に行います。
In most cases, the application submitting a transaction will be using an X.509 certificate.	ほとんどの場合、トランザクションを送信するアプリケーションは、X.509証明書を使用するでしょう。
In the [example](#structure), an X.509 certificate (6) issued by `CA1` (7) is being used by `Isabella` (8) in her application to sign the proposal in transaction `t6` (5).	この[例](#structure)では、`CA1` (7)によって発行されたX.509証明書 (6) が、`Isabella` (8)がアプリケーションで、トランザクション`t6` (5)の提案に署名するのに使われています。
`ClientIdentity` takes the information returned by `getCreator()` and puts a set of X.509 utility APIs on top of it to make it easier to use for this common use case.	`ClientIdentity`は、`getCreator()`によって返される情報をもとに、この一般的なユースケースで簡単に使えるように、X.509のユーティリティAPI群を持っているものです。
[getX509Certificate()](https://hyperledger.github.io/fabric-chaincode-node/{BRANCH}/api/fabric-shim.ClientIdentity.html#getX509Certificate__anchor) returns the full X.509 certificate of the transaction submitter, including all its attributes and their values.	[getX509Certificate()](https://hyperledger.github.io/fabric-chaincode-node/{BRANCH}/api/fabric-shim.ClientIdentity.html#getX509Certificate__anchor)は、トランザクションの送信者の、全ての属性と値を含むX.509証明書全体を返します。
See interaction point (6).	(6)を参照してください。
[getAttributeValue()](https://hyperledger.github.io/fabric-chaincode-node/{BRANCH}/api/fabric-shim.ClientIdentity.html#getAttributeValue__anchor) returns the value of a particular X.509 attribute, for example, the organizational unit `OU`, or distinguished name `DN`.	[getAttributeValue()](https://hyperledger.github.io/fabric-chaincode-node/{BRANCH}/api/fabric-shim.ClientIdentity.html#getAttributeValue__anchor)は、例えば、組織単位(`OU`)や、識別名(`DN`)といったX.509の特定の属性の値を返します。
See interaction point (6).	(6)を参照してください。
[assertAttributeValue()](https://hyperledger.github.io/fabric-chaincode-node/{BRANCH}/api/fabric-shim.ClientIdentity.html#assertAttributeValue__anchor) returns `TRUE` if the specified attribute of the X.509 attribute has a specified value.	[assertAttributeValue()](https://hyperledger.github.io/fabric-chaincode-node/{BRANCH}/api/fabric-shim.ClientIdentity.html#assertAttributeValue__anchor)は、指定したX.509属性が指定した値を持っている場合に`TRUE`を返します。
See interaction point (6).	(6)を参照してください。
[getID()](https://hyperledger.github.io/fabric-chaincode-node/{BRANCH}/api/fabric-shim.ClientIdentity.html#getID__anchor) returns the unique identity of the transaction submitter, according to their distinguished name and the issuing CA's distinguished name.	[getID()](https://hyperledger.github.io/fabric-chaincode-node/{BRANCH}/api/fabric-shim.ClientIdentity.html#getID__anchor)は、その識別名と発行したCAの識別名に従って、トランザクション送信者のユニークな識別子を返します。
The format is `x509::{subject DN}::{issuer DN}`.	フォーマットは、`x509::{subject DN}::{issuer DN}`です。
See interaction point (6).	(6)を参照してください。
[getMSPID()](https://hyperledger.github.io/fabric-chaincode-node/{BRANCH}/api/fabric-shim.ClientIdentity.html#getMSPID__anchor) returns the channel MSP of the transaction submitter.	[getMSPID()](https://hyperledger.github.io/fabric-chaincode-node/{BRANCH}/api/fabric-shim.ClientIdentity.html#getMSPID__anchor)は、トランザクション送信者のチャネルMSPを返します。
This allows a smart contract to make processing decisions based on the submitter's organizational identity.	これによって、スマートコントラクトは、送信者の組織のアイデンティティに基づいて処理判断をすることができます。
See interaction point (15) or (16).	図の(15)あるいは(16)を参照してください。
**Audience**: Architects, Application and smart contract developers	**対象読者**: アーキテクト、アプリケーションおよびスマートコントラクト開発者
Transaction handlers allow smart contract developers to define common processing at key points during the interaction between an application and a smart contract.	トランザクションハンドラによって、スマートコントラクト開発者は、アプリケーションとスマートコントラクトのやりとりの中の重要なポイントでの共通処理を定義することができます。
Transaction handlers are optional but, if defined, they will receive control before or after every transaction in a smart contract is invoked.	トランザクションハンドラは必須ではありませんが、定義された場合、スマートコントラクトで各トランザクションが実行される前あるいは後に制御を受け取ることができます。
There is also a specific handler which receives control when a request is made to invoke a transaction not defined in a smart contract.	スマートコントラクトで定義されていないトランザクションを実行しようとする要求があった場合に制御を受け取るハンドラもあります。
Here's an example of transaction handlers for the [commercial paper smart contract sample](./smartcontract.html):	[コマーシャルペーパースマートコントラクトのサンプル](./smartcontract.html)のトランザクションハンドラの例は、下記のとおりです。
Before, After and Unknown transaction handlers.	Before・After・Unknownトランザクションハンドラ。
In this example, `beforeTransaction()` is called before the issue, buy and redeem transactions.	この例では、`beforeTransaction()`は、発行、購入、現金化トランザクションの前に呼ばれます。
`afterTransaction()` is called after the issue, buy and redeem transactions.	`afterTransaction()`は、発行、購入、現金化トランザクションの後に呼ばれます。
`unknownTransaction()` is only called if a request is made to invoke a transaction not defined in the smart contract.	`unknownTransaction()`は、スマートコントラクトで定義されていないトランザクションを実行しようとする要求があった場合にのみ呼ばれます。
The diagram is simplified by not repeating `beforeTransaction` and `afterTransaction` boxes for each transaction.	図は、`beforeTransaction`と`afterTransaction`の箱を各トランザクションごとに繰り返し描かないで簡略化しています
There are three types of transaction handlers which cover different aspects of the interaction between an application and a smart contract:	下記のように、アプリケーションとスマートコントラクトの別々の側面に対応する3種類のトランザクションハンドラがあります。
Before handler: is called before every smart contract transaction is invoked.	Beforeハンドラ: 各スマートコントラクトトランザクションが実行される前に呼ばれます。
The handler will usually modify the transaction context to be used by the transaction.	このハンドラは、トランザクションで使われるトランザクションコンテキストを変更するために通常使われます。
The handler has access to the full range of Fabric APIs; for example, it can issue `getState()` and `putState()`.	ハンドラは、Fabric APIの全てにアクセスすることができ、例えば、`getState()`や`putState()`を実行できます。
After handler: is called after every smart contract transaction is invoked.	Afterハンドラ: 各スマートコントラクトトランザクションが実行された後に呼ばれます。
The handler will usually perform post-processing common to all transactions, and also has full access to the Fabric APIs.	このハンドラは、各トランザクションに共通な後処理を通常行い、これもFabric API全てにアクセスできます。
Unknown handler: is called if an attempt is made to invoke a transaction that is not defined in a smart contract.	Unknownハンドラ: スマートコントラクトに定義されていないトランザクションを実行しようとした場合に呼ばれます。
Typically, the handler will record the failure for subsequent processing by an administrator.	多くの場合、ハンドラは、後で管理者による処理のためにエラーを記録します。
The handler has full access to the Fabric APIs.	このハンドラは、Fabric API全てにアクセスできます。
Defining a transaction handler is optional; a smart contract will perform correctly without handlers being defined.	トランザクションハンドラの定義は、必須ではありません。ハンドラが定義されていない場合でも、スマートコントラクトは正しく動作します。
A smart contract can define at most one handler of each type.	スマートコントラクトは、ハンドラの種類ごとにそれぞれ一つまで定義することができます。
Transaction handlers are added to the smart contract as methods with well defined names.	トランザクションハンドラは、決められた名前のメソッドとして、スマートコントラクトに追加されます。
Here's an example which adds a handler of each type:	下記が、各種類のハンドラを追加する例です。
Write the transaction ID as an informational to the console	トランザクションIDをコンソールに情報として出力します
This handler interacts with the ledger	このハンドラは台帳とやりとりを行います
This handler throws an exception	このハンドラは例外を投げます
The form of a transaction handler definition is the similar for all handler types, but notice how the `afterTransaction(ctx, result)` also receives any result returned by the transaction.	トランザクションハンドラ定義の形式は全てのハンドラの種類で似ていますが、`afterTransaction(ctx, result)`は、トランザクションによって返された結果も受け取ることに注意してください。
The [API documentation](https://hyperledger.github.io/fabric-chaincode-node/{BRANCH}/api/fabric-contract-api.Contract.html) shows you the exact form of these handlers.	[APIドキュメント](https://hyperledger.github.io/fabric-chaincode-node/{BRANCH}/api/fabric-contract-api.Contract.html)には、これらのハンドラの正確な形式の説明があります。
Once a handler has been added to the smart contract, it will be invoked during transaction processing.	ハンドラがスマートコントラクトに追加されると、ハンドラはトランザクション処理の間に実行されます。
During processing, the handler receives `ctx`, the [transaction context](./transationcontext.md), performs some processing, and returns control as it completes.	処理においては、ハンドラは[トランザクションコンテキスト](./transationcontext.html)である`ctx`を受け取り、何らかの処理を行い、完了時に制御を返します。
Processing continues as follows:	処理は、下記のように続きます。
Before handler: If the handler completes successfully, the transaction is called with the updated context.	Beforeハンドラ: ハンドラが正常に終了した場合、トランザクションが更新されたコンテキストで呼ばれます。
If the handler throws an exception, then the transaction is not called and the smart contract fails with the exception error message.	ハンドラが例外を投げた場合、トランザクションは呼ばれず、スマートコントラクトはその例外のエラーメッセージで失敗します。
After handler: If the handler completes successfully, then the smart contract completes as determined by the invoked transaction.	Afterハンドラ: ハンドラが正常に終了した場合、スマートコントラクトは、実行されたトランザクションの通りに終了します。
If the handler throws an exception, then the transaction fails with the exception error message.	ハンドラが例外を投げた場合、トランザクションはその例外のエラーメッセージで失敗します。
Unknown handler: The handler should complete by throwing an exception with the required error message.	Unknownハンドラ: ハンドラは、必要なエラーメッセージを含む例外を投げて終了するべきです。
If an Unknown handler is not specified, or an exception is not thrown by it, there is sensible default processing; the smart contract will fail with an unknown transaction error message.	Unknownハンドラが指定されなかった場合、あるいは、ハンドラが例外を投げなかった場合には、ちゃんとしたデフォルトの処理があり、スマートコントラクトは、unknown transactionのエラーメッセージで失敗します。
If the handler requires access to the function and parameters, then it is easy to do this: Retrieve details of the transaction	もし、ハンドラが関数及び引数にアクセスする必要がある場合、下記のように簡単に行うことができます。
See how this handler uses the utility API `getFunctionAndParameters` via the [transaction context](./transactioncontext.html#stub).	トランザクションの詳細を取得しますこのハンドラが、[トランザクションコンテキスト](./transactioncontext.html#stub)を通じて、ユーティリティAPIである`getFunctionAndParameters`を呼んでいるのがわかるでしょう。
It is only possible to define at most one handler of each type for a smart contract.	スマートコントラクトに対して、各種類のハンドラについて、最大一つまでしか定義することができません。
If a smart contract needs to invoke multiple functions during before, after or unknown handling, it should coordinate this from within the appropriate function.	もし、スマートコントラクトが、before・after・unknown処理で複数の関数を呼ぶ必要がある場合は、適切なハンドラ関数がそれを管理しなければなりません。
The following instructions assume that you have already set up your :doc:`development environment <devenv>`.	以下の手順は、 :doc:`開発環境 <devenv>` がすでにセットアップされていることを前提としています。
To build Hyperledger Fabric:	Hyperledger Fabric をビルドするには以下を実行します:
If you are contributing to the documentation, you can build the Fabric documentation on your local machine.	もしあなたがドキュメントに貢献している場合は、ローカルマシン上で Fabric ドキュメントをビルドできます。
This allows you to check the formatting of your changes using your web browser before you open a pull request.	これにより、プルリクエストを開く前に、Web ブラウザを使用してあなたの変更のフォーマットを確認できます。
You need to download the following prerequisites before you can build the documentation:	ドキュメントをビルドする前に、次の前提条件をダウンロードする必要があります:
After you make your updates to the documentation source files, you can generate a build that includes your changes by running the following commands:	ドキュメントソースファイルを更新した後、次のコマンドを実行して、あなたの変更を含むビルドを生成できます:
This will generate all the html files in the ``docs/build/html`` folder.	これにより、 ``docs/build/html`` フォルダにすべてのhtmlファイルが生成されます。
You can open any file to start browsing the updated documentation using your browser.	あなたは、任意のファイルを開いて、ブラウザを使用して更新されたドキュメントの閲覧を開始できます。
If you want to make additional edits to the documentation, you can rerun ``make html`` to incorporate the changes.	ドキュメントにさらに追加の編集を加えたい場合は、 ``make html`` を再実行して変更を組み込むことができます。
Use the following command to run all unit tests:	次のコマンドを使用して、すべての単体テストを実行します:
To run a subset of tests, set the TEST_PKGS environment variable.	テストのサブセットを実行するには、 TEST_PKGS 環境変数を設定します。
Specify a list of packages (separated by space), for example:	パッケージのリスト（スペース区切り）を指定します。たとえば、以下の通りです:
To run a specific test use the ``-run RE`` flag where RE is a regular expression that matches the test case name.	特定のテストを実行するには、 ``-run RE`` フラグを使用します。RE は、テストケース名にマッチする正規表現です。
To run tests with verbose output use the ``-v`` flag.	詳細出力でテストを実行するには、 ``-v`` フラグを使用します。
For example, to run the ``TestGetFoo`` test case, change to the directory containing the ``foo_test.go`` and call/execute	たとえば、 ``TestGetFoo`` テストケースを実行するには、 ``foo_test.go`` を含むディレクトリに移動し、以下を呼び出し/実行します:
You must also run the Node.js unit tests to ensure that the Node.js client SDK is not broken by your changes.	また、Node.js 単体テストを実行して、 Node.js クライアント SDK があなたの変更によって壊れていないことを確認する必要があります。
To run the Node.js unit tests, follow the instructions `here <https://github.com/hyperledger/fabric-sdk-node/blob/master/README.md>`__.	Node.js 単体テストを実行するには、 `こちら <https://github.com/hyperledger/fabric-sdk-node/blob/master/README.md>`__ の手順に従ってください。
Configuration utilizes the `viper <https://github.com/spf13/viper>`__ and `cobra <https://github.com/spf13/cobra>`__ libraries.	設定では、 `viper ライブラリ <https://github.com/spf13/viper>`__と `cobra ライブラリ <https://github.com/spf13/cobra>`__ を利用します。
There is a core.yaml file that contains the configuration for the peer process.	ピアプロセスの設定を含むcore.yamlファイルがあります。
Many of the configuration settings can be overridden on the command line by setting ENV variables that match the configuration setting, but by prefixing with 'CORE\_'.	設定の多くは、設定名と一致する環境変数を設定することにより、コマンドライン上で上書きできますが、その際に接頭辞として'CORE\_'を付ける必要があります。
For example, setting `peer.networkId` can be accomplished with:	たとえば、 peer.networkId の設定は次のように行えます:
We code in Go™ and try to follow the best practices and style outlined in `Effective Go <https://golang.org/doc/effective_go.html>`__ and the supplemental rules from the `Go Code Review Comments wiki <https://github.com/golang/go/wiki/CodeReviewComments>`__.	我々は Go™ でコーディングし、 `Effective Go <https://golang.org/doc/effective_go.html>`__ で概説されているベストプラクティスとスタイルおよび `Go Code Review Comments wiki<https://github.com/golang/go/wiki/CodeReviewComments>`__ の補足ルールに従うように努めています。
We also recommend new contributors review the following before submitting pull requests:	また、プルリクエストを送信する前に、新しいコントリビュータが以下を確認することをおすすめします:
The following tools are executed against all pull requests.	次のツールは、すべてのプルリクエストに対して実行されます。
Any errors flagged by these tools must be addressed before the code will be merged:	これらのツールによってフラグが付けられたエラーは、コードをマージする前に対処する必要があります:
Unit tests are expected to accompany all production code changes.	単体テストは、すべての製品コードの変更に付随して行われることが期待されています。
These tests should be fast, provide very good coverage for new and modified code, and support parallel execution.	これらのテストは高速で、新規および変更されたコードに対して非常に優れたカバレッジを提供し、並列実行をサポートしなければなりません。
Two matching libraries are commonly used in our tests.	我々のテストでは、2つのマッチングライブラリ (訳者補足: テストの条件マッチライブラリ) が一般的に使用されます。
When modifying code, please use the matching library that has already been chosen for the package.	コードを変更するときは、パッケージ用にすでに選択されているマッチングライブラリを使用してください。
Any fixtures or data required by tests should generated or placed under version control.	テストに必要なフィクスチャまたはデータは、生成するか、バージョン管理下に置く必要があります。
When fixtures are generated, they must be placed in a temporary directory created by ``ioutil.TempDir`` and cleaned up when the test terminates.	フィクスチャが生成されるとき、それらは  ``ioutil.TempDir`` によって作成された一時ディレクトリに配置され、テストの終了時にクリーンアップされる必要があります。
When fixtures are placed under version control, they should be created inside a ``testdata`` folder; documentation that describes how to regenerate the fixtures should be provided in the tests or a ``README.txt``.	フィクスチャをバージョン管理下に置く場合は、 ``testdata`` フォルダ内に作成する必要があります。フィクスチャを再生成する方法を説明するドキュメントは、テストまたは ``README.txt`` で提供する必要があります。
Sharing fixtures across packages is strongly discouraged.	パッケージ間でフィクスチャを共有することは強くおすすめしません。
When fakes or mocks are needed, they must be generated.	フェイクやモックが必要な場合は、それらを生成する必要があります。
Bespoke, hand-coded mocks are a maintenance burden and tend to include simulations that inevitably diverge from reality.	ハードコードしたモックはメンテナンスの負担であり、必然的に現実から乖離したシミュレーションが含む傾向があります。
Within Fabric, we use ``go generate`` directives to manage the generation with the following tools:	Fabric 内では、 ``go generate`` ディレクティブを使用して、次のツールでその生成を管理します:
